"CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","NAME_INCOME_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_EMPLOYED","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","TARGET","EMPLOYMENT_STATUS_FLAG","EDUCATION_LEVEL","AGE"
"F",0,1,1,157500,"Commercial associate","Married","With parents",511,0,0,0,"Accountants",3,"0","Working",4,28.3613963039014
"F",1,1,2,247500,"Commercial associate","Married","House / apartment",953,0,0,1,"Sales staff",4,"0","Working",4,35.1676933607118
"F",0,1,0,45000,"Working","Married","House / apartment",1849,1,1,0,"Unknown",2,"0","Working",2,45.3497604380561
"F",0,0,0,225000,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",4,59.8329911019849
"M",1,0,0,270000,"Working","Married","House / apartment",3262,0,0,0,"Managers",2,"0","Working",4,33.0896646132786
"M",1,1,1,261000,"Commercial associate","Married","House / apartment",1325,0,0,0,"Drivers",3,"0","Working",4,32.6570841889117
"F",1,1,0,135000,"Commercial associate","Married","House / apartment",2819,0,1,0,"Sales staff",2,"0","Working",2,46.1574264202601
"M",1,1,0,301500,"Working","Married","House / apartment",5210,1,1,0,"IT staff",2,"0","Working",4,35.8521560574949
"F",0,1,2,157500,"Commercial associate","Married","House / apartment",7452,0,0,0,"Drivers",4,"0","Working",2,40.1615331964408
"F",1,1,2,76500,"Working","Married","House / apartment",174,0,0,0,"Sales staff",4,"0","Working",2,27.9644079397673
"M",1,1,0,225000,"Commercial associate","Separated","House / apartment",523,0,0,0,"Security staff",1,"0","Working",2,39.4277891854894
"M",0,1,0,180000,"Pensioner","Married","Municipal apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,50.8665297741273
"M",1,1,0,270000,"Working","Married","House / apartment",1133,0,0,0,"Drivers",2,"0","Working",2,48.062970568104
"F",0,1,2,153000,"Working","Married","House / apartment",712,1,1,0,"Unknown",4,"0","Working",3,28.9883641341547
"F",0,1,0,67500,"Commercial associate","Widow","House / apartment",1080,1,0,0,"Security staff",1,"0","Working",2,36.3422313483915
"F",0,1,0,270000,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",2,57.3360711841205
"M",1,1,1,450000,"Commercial associate","Married","House / apartment",678,0,1,1,"Core staff",3,"0","Working",2,49.7549623545517
"F",1,0,0,270000,"Commercial associate","Married","House / apartment",701,0,0,0,"Sales staff",2,"0","Working",2,46.5516769336071
"F",0,0,0,171000,"Commercial associate","Married","House / apartment",12056,1,1,1,"High skill tech staff",2,"0","Working",2,53.4784394250513
"M",1,1,0,135000,"State servant","Married","Municipal apartment",948,0,0,0,"Laborers",2,"0","Working",2,46.5242984257358
"M",1,0,0,135000,"Working","Single / not married","House / apartment",5296,1,0,0,"Drivers",2,"0","Working",2,44.5776865160849
"F",1,1,0,112500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,59.2635181382615
"F",1,1,1,144000,"Working","Separated","House / apartment",4097,0,0,0,"Core staff",2,"0","Working",4,37.3908281998631
"F",0,1,0,315000,"Working","Married","House / apartment",14810,0,0,0,"Medicine staff",2,"0","Working",2,61.1471594798084
"F",0,1,0,180000,"Commercial associate","Single / not married","House / apartment",3159,0,0,0,"Managers",1,"0","Working",4,40.0958247775496
"F",0,1,0,148500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,60.7337440109514
"F",0,0,0,135000,"Working","Married","Municipal apartment",4493,1,1,0,"Unknown",2,"0","Working",2,42.1300479123888
"F",0,1,1,130500,"Working","Married","House / apartment",8454,1,0,0,"Accountants",3,"0","Working",2,51.9479808350445
"F",0,1,0,54000,"Working","Married","House / apartment",178,0,1,1,"Laborers",2,"0","Working",2,50.0041067761807
"M",1,1,0,135000,"Working","Married","House / apartment",1685,0,0,0,"High skill tech staff",2,"1","Working",2,27.0910335386721
"F",0,1,0,90000,"Working","Married","House / apartment",3210,0,0,0,"Medicine staff",2,"0","Working",2,27.9698836413415
"F",1,1,0,180000,"Working","Married","House / apartment",6676,0,1,0,"Laborers",2,"0","Working",1,57.223819301848
"M",0,0,1,405000,"Commercial associate","Married","House / apartment",2888,1,1,0,"Managers",3,"0","Working",4,29.4127310061602
"M",0,1,0,112500,"Commercial associate","Married","House / apartment",1516,0,0,0,"Managers",2,"1","Working",4,58.7104722792608
"F",1,1,1,157500,"Working","Married","House / apartment",1479,1,1,1,"Unknown",3,"0","Working",4,31.4907597535934
"M",0,1,0,162000,"Working","Single / not married","House / apartment",304,0,0,0,"Laborers",1,"0","Working",3,42.6803559206023
"F",0,1,1,162000,"State servant","Married","House / apartment",2372,0,0,0,"Core staff",3,"0","Working",2,36.9363449691992
"F",0,0,0,157500,"Commercial associate","Single / not married","House / apartment",2282,0,0,0,"Waiters/barmen staff",1,"0","Working",2,33.1635865845311
"F",0,1,0,180000,"Working","Married","House / apartment",389,0,0,1,"HR staff",2,"0","Working",4,27.6960985626283
"M",1,1,1,157500,"Working","Married","House / apartment",2276,0,0,0,"Laborers",3,"0","Working",2,43.4743326488706
"F",0,1,0,189000,"Commercial associate","Separated","House / apartment",3582,0,0,0,"Unknown",1,"0","Working",2,46.0780287474333
"F",1,0,2,247500,"Working","Married","House / apartment",671,1,1,0,"Accountants",4,"0","Working",4,32.6132785763176
"M",1,1,0,180000,"Working","Married","House / apartment",3978,0,0,0,"Managers",2,"0","Working",2,52.9555099247091
"F",0,1,0,292500,"Working","Married","House / apartment",939,0,0,0,"Unknown",2,"0","Working",2,47.8740588637919
"M",1,1,0,108000,"Working","Married","House / apartment",685,0,1,1,"Drivers",2,"0","Working",2,43.3593429158111
"M",0,1,2,270000,"Commercial associate","Married","Office apartment",697,0,0,1,"Drivers",4,"0","Working",2,40.8350444900753
"M",0,1,2,148500,"Working","Married","House / apartment",162,0,1,0,"Laborers",4,"0","Working",2,44.1478439425051
"F",0,1,4,157500,"Working","Civil marriage","House / apartment",1001,1,1,0,"Unknown",6,"0","Working",2,39.6002737850787
"F",0,1,0,81000,"Working","Widow","House / apartment",4200,0,0,0,"Unknown",1,"0","Working",2,53.0814510609172
"M",1,1,0,90000,"Working","Married","House / apartment",369,0,0,1,"Unknown",2,"1","Working",4,34.5681040383299
"M",1,1,1,256500,"State servant","Married","Office apartment",4409,0,0,0,"Core staff",3,"0","Working",4,30.5379876796715
"F",0,0,0,112500,"Working","Married","House / apartment",1136,0,1,0,"Laborers",2,"0","Working",4,23.0171115674196
"M",1,1,0,135000,"Working","Single / not married","House / apartment",1279,0,0,0,"Unknown",1,"0","Working",2,22.6995208761123
"F",1,1,1,157500,"Working","Married","House / apartment",574,1,0,0,"Accountants",3,"0","Working",2,30.4202600958248
"F",0,0,0,270000,"Working","Single / not married","House / apartment",2164,0,1,1,"High skill tech staff",1,"1","Working",2,32.1259411362081
"F",0,1,1,202500,"Working","Married","House / apartment",4212,0,0,1,"Unknown",3,"1","Working",2,47.6741957563313
"F",1,1,0,184500,"Working","Widow","House / apartment",2756,0,0,0,"Accountants",1,"1","Working",2,52.5119780971937
"M",0,1,0,85500,"State servant","Separated","Co-op apartment",8737,1,1,0,"Core staff",1,"0","Working",2,45.2895277207392
"F",0,1,0,180000,"Working","Married","House / apartment",2264,0,0,0,"Laborers",2,"0","Working",2,46.3956194387406
"F",0,1,0,180000,"Commercial associate","Separated","House / apartment",5458,0,0,0,"Laborers",1,"0","Working",2,35.006160164271
"F",1,1,0,157500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,62.1054072553046
"F",0,0,0,166500,"Commercial associate","Single / not married","House / apartment",1386,0,0,0,"Laborers",1,"0","Working",2,26.403832991102
"M",1,1,0,225000,"Working","Married","House / apartment",2126,0,0,0,"Unknown",2,"1","Working",2,40.8131416837782
"F",0,1,0,112500,"Working","Widow","House / apartment",716,0,0,0,"Security staff",1,"0","Working",3,58.3737166324435
"F",0,1,3,157500,"Working","Married","House / apartment",1578,0,1,0,"Laborers",5,"0","Working",2,33.4620123203285
"M",0,1,0,157500,"Working","Single / not married","House / apartment",1185,0,0,0,"Unknown",1,"0","Working",2,34.3928815879535
"F",1,1,0,292500,"Commercial associate","Separated","House / apartment",1482,0,0,1,"Sales staff",1,"0","Working",2,40.3559206023272
"F",1,1,0,58500,"Working","Separated","House / apartment",1692,1,0,0,"Sales staff",1,"0","Working",2,50.6310746064339
"M",0,1,0,180000,"Pensioner","Separated","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",2,58.8035592060233
"F",0,1,0,112500,"Working","Single / not married","House / apartment",897,0,0,0,"Laborers",1,"0","Working",3,22.2258726899384
"F",0,0,0,135000,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",2,58.0780287474333
"F",1,0,1,112500,"Commercial associate","Married","House / apartment",82,0,0,0,"Core staff",3,"0","Working",4,29.0239561943874
"M",1,1,0,243000,"Working","Married","House / apartment",1606,0,0,1,"Drivers",2,"1","Working",2,54.1409993155373
"F",0,1,1,202500,"Commercial associate","Married","House / apartment",2652,0,0,0,"HR staff",3,"0","Working",4,42.0835044490075
"F",0,0,0,144000,"Working","Single / not married","House / apartment",7310,1,1,0,"Core staff",1,"0","Working",2,46.2642026009582
"M",1,1,0,360000,"Working","Married","House / apartment",600,0,0,1,"Unknown",2,"1","Working",4,27.6440793976728
"M",1,0,2,292500,"Working","Married","House / apartment",4279,1,1,0,"Managers",4,"0","Working",2,36.0054757015743
"F",1,0,0,180000,"Working","Single / not married","Municipal apartment",698,0,0,0,"Sales staff",1,"0","Working",2,24.4599589322382
"M",0,0,0,202500,"Working","Married","Rented apartment",296,0,0,0,"Laborers",2,"0","Working",4,41.8370978781656
"M",0,1,0,225000,"Commercial associate","Married","House / apartment",1667,0,1,0,"Managers",2,"0","Working",3,27.5947980835045
"M",1,0,1,135000,"Working","Married","House / apartment",4056,0,0,0,"Drivers",3,"1","Working",2,32.2655715263518
"F",0,1,0,81000,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",2,60.9445585215606
"F",0,1,0,202500,"Working","Married","House / apartment",280,0,0,0,"Laborers",2,"0","Working",2,44.6872005475702
"F",0,0,0,180000,"Commercial associate","Civil marriage","House / apartment",4655,0,1,0,"Unknown",2,"1","Working",2,45.8370978781656
"F",0,1,1,67500,"Commercial associate","Married","House / apartment",2512,0,0,0,"Core staff",3,"0","Working",4,29.5249828884326
"M",1,1,0,166500,"Working","Married","House / apartment",184,0,0,0,"Laborers",2,"0","Working",2,25.2539356605065
"M",1,1,2,180000,"Working","Married","House / apartment",550,0,0,0,"Drivers",4,"0","Working",2,38.9130732375086
"M",0,1,1,135000,"Working","Married","House / apartment",1692,0,0,0,"Laborers",3,"0","Working",2,40.8049281314168
"F",0,1,0,202500,"Pensioner","Civil marriage","Municipal apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,62.2121834360027
"M",0,0,0,157500,"Working","Civil marriage","House / apartment",1304,0,1,0,"Laborers",2,"0","Working",2,51.7645448323066
"M",1,1,2,180000,"Working","Married","House / apartment",2704,0,0,1,"Laborers",4,"0","Working",2,34.9349760438056
"M",0,1,3,103500,"Working","Married","House / apartment",150,1,0,0,"Laborers",5,"0","Working",2,41.2813141683778
"F",0,0,1,135000,"Working","Married","House / apartment",1643,0,0,0,"Cleaning staff",3,"0","Working",2,42.444900752909
"F",0,1,0,270000,"Working","Married","House / apartment",3002,0,1,0,"Unknown",2,"1","Working",2,47.8576317590691
"F",0,1,0,90000,"Working","Married","House / apartment",5770,0,0,0,"Unknown",2,"1","Working",2,37.3524982888433
"F",0,0,0,112500,"Working","Civil marriage","Municipal apartment",1405,1,0,0,"Core staff",2,"0","Working",2,38.8062970568104
"F",1,1,0,126000,"Working","Married","House / apartment",2280,0,0,0,"Laborers",2,"0","Working",2,38.984257357974
"M",0,1,2,112500,"Working","Married","House / apartment",1498,0,0,0,"Drivers",4,"0","Working",2,35.1430527036277
"F",0,0,0,90000,"Commercial associate","Married","House / apartment",2298,1,1,0,"Core staff",2,"0","Working",2,51.5564681724846
"M",1,1,0,342000,"Working","Married","House / apartment",2813,0,1,0,"Core staff",2,"0","Working",2,48.5941136208077
"M",0,1,1,90000,"Working","Married","House / apartment",2582,0,0,1,"Unknown",3,"0","Working",2,28.6981519507187
"M",0,1,0,126000,"Working","Married","House / apartment",2422,0,1,0,"Laborers",2,"1","Working",2,28.9308692676249
"F",0,1,0,112500,"Working","Civil marriage","House / apartment",688,0,0,0,"Sales staff",2,"0","Working",2,39.1266255989049
"M",0,1,0,135000,"Working","Single / not married","With parents",110,0,0,0,"Sales staff",1,"0","Working",4,24.2546201232033
"F",0,0,2,157500,"Working","Married","House / apartment",94,0,1,0,"Unknown",4,"0","Working",4,29.700205338809
"M",1,0,2,112500,"Working","Married","House / apartment",1937,0,0,0,"Drivers",4,"0","Working",2,44.5831622176591
"F",0,1,1,112500,"State servant","Married","House / apartment",4710,0,1,0,"Laborers",3,"0","Working",2,51.2224503764545
"F",0,1,0,67500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,49.4318959616701
"M",1,1,0,135000,"Working","Married","House / apartment",5019,1,0,0,"Laborers",2,"1","Working",2,43.8412046543463
"F",0,0,0,81000,"Working","Married","House / apartment",2090,1,0,0,"High skill tech staff",2,"0","Working",4,48.9555099247091
"M",1,0,0,144000,"Commercial associate","Married","House / apartment",730,0,0,0,"Laborers",2,"1","Working",2,42.3326488706366
"F",1,1,0,225000,"Commercial associate","Married","House / apartment",388,0,0,0,"Accountants",2,"0","Working",4,46.7460643394935
"M",1,1,0,585000,"Commercial associate","Married","House / apartment",1975,0,0,0,"Managers",2,"0","Working",2,55.4305270362765
"F",0,0,2,216000,"Working","Single / not married","House / apartment",2263,1,0,0,"Laborers",3,"0","Working",2,31.0499657768652
"M",1,0,1,225000,"Working","Married","House / apartment",4037,0,0,0,"Drivers",3,"0","Working",2,55.7754962354552
"F",0,1,0,112500,"Pensioner","Single / not married","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",2,59.8247775496235
"F",0,0,0,112500,"Working","Separated","House / apartment",187,0,0,0,"Core staff",1,"0","Working",2,33.864476386037
"F",0,1,0,81000,"Working","Separated","House / apartment",2987,0,0,0,"Sales staff",1,"0","Working",2,45.7987679671458
"M",0,1,1,135000,"Working","Civil marriage","With parents",232,0,0,1,"Laborers",3,"0","Working",2,24.9007529089665
"F",0,0,1,337500,"Working","Separated","House / apartment",3213,0,0,0,"Laborers",2,"0","Working",2,38.8583162217659
"M",1,1,2,189000,"Working","Married","House / apartment",580,0,1,0,"Unknown",4,"1","Working",2,36.498288843258
"M",1,0,1,112500,"Working","Separated","Co-op apartment",1135,1,0,0,"Laborers",2,"0","Working",2,32.8487337440109
"M",1,1,1,202500,"Working","Married","House / apartment",7869,0,0,0,"Laborers",3,"0","Working",2,43.0362765229295
"F",0,1,0,112500,"Working","Married","With parents",608,1,0,1,"Unknown",2,"0","Working",2,27.4387405886379
"F",0,1,0,180000,"Pensioner","Single / not married","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",2,57.8836413415469
"M",0,0,2,171000,"State servant","Married","House / apartment",4556,0,1,0,"Core staff",4,"0","Working",4,32.8459958932238
"F",0,0,1,225000,"Working","Married","House / apartment",1671,0,1,0,"Core staff",3,"0","Working",4,32.4380561259411
"F",0,1,0,135000,"Working","Married","House / apartment",1789,1,0,0,"Cooking staff",2,"0","Working",2,49.7796030116359
"M",0,1,0,180000,"Commercial associate","Married","House / apartment",2606,0,0,0,"Unknown",2,"0","Working",2,44.5968514715948
"F",0,0,0,121500,"Working","Married","House / apartment",1911,0,0,0,"Unknown",2,"0","Working",2,45.9192334017796
"F",0,1,0,171000,"Working","Married","House / apartment",1436,1,1,0,"Laborers",2,"1","Working",2,46.3134839151266
"M",0,1,0,90000,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,62.1519507186858
"F",0,1,3,207000,"Commercial associate","Widow","House / apartment",461,1,1,0,"Unknown",4,"0","Working",2,41.7987679671458
"F",0,1,2,112500,"Working","Married","House / apartment",5387,0,1,0,"Core staff",4,"0","Working",4,38.7022587268994
"M",1,1,0,112500,"Commercial associate","Civil marriage","House / apartment",126,0,0,0,"Laborers",2,"0","Working",2,31.1019849418207
"M",0,0,0,126000,"Working","Married","House / apartment",4496,0,0,0,"Laborers",2,"0","Working",2,32.8596851471595
"F",0,1,2,90000,"Working","Married","House / apartment",4386,0,0,0,"High skill tech staff",4,"0","Working",4,38.4969199178645
"F",0,0,0,90000,"Working","Married","House / apartment",2987,0,1,0,"Unknown",2,"0","Working",2,42.2395619438741
"F",0,1,2,90000,"Working","Married","House / apartment",320,0,0,0,"Security staff",4,"0","Working",2,27.1019849418207
"F",0,0,0,126000,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",4,55.8850102669405
"F",1,1,1,247500,"State servant","Married","House / apartment",5285,0,1,0,"Core staff",3,"0","Working",4,38.9568788501027
"F",0,1,0,157500,"Working","Widow","House / apartment",477,0,0,0,"Sales staff",1,"0","Working",2,58.8884325804244
"F",0,1,0,112500,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",2,62.9404517453799
"M",1,1,0,157500,"Working","Married","With parents",3392,0,0,0,"Drivers",2,"0","Working",2,48.0930869267625
"F",0,0,2,67500,"Commercial associate","Married","Rented apartment",2385,0,1,0,"Sales staff",4,"0","Working",2,30.6365503080082
"M",0,1,0,112500,"Working","Married","House / apartment",938,1,0,0,"Security staff",2,"0","Working",2,50.6365503080082
"F",0,1,0,99000,"Pensioner","Separated","House / apartment",0,0,0,0,"Retired",1,"1","Not_Working",4,67.3812457221081
"F",0,1,1,382500,"Commercial associate","Married","Municipal apartment",6652,0,0,0,"Managers",3,"0","Working",4,38.3518138261465
"M",0,0,2,157500,"Working","Married","House / apartment",839,1,0,0,"Drivers",4,"0","Working",2,32.1806981519507
"F",0,1,0,112500,"Working","Civil marriage","House / apartment",3598,0,0,0,"Laborers",2,"0","Working",2,52.5776865160849
"F",0,0,0,103500,"Working","Married","House / apartment",4768,0,0,0,"Medicine staff",2,"0","Working",2,50.0424366872005
"F",0,0,0,112500,"Pensioner","Widow","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",2,67.8795345653662
"F",0,1,0,135000,"Working","Married","House / apartment",9406,0,1,0,"Core staff",2,"0","Working",4,46.7488021902806
"M",1,1,0,135000,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,60.9993155373032
"M",1,1,0,157500,"Working","Married","House / apartment",3978,1,0,0,"Laborers",2,"0","Working",2,37.6043805612594
"M",0,0,1,337500,"Commercial associate","Married","House / apartment",2370,0,0,1,"Managers",3,"0","Working",4,48.1670088980151
"F",1,1,0,171000,"Working","Married","House / apartment",2456,0,0,0,"Laborers",2,"0","Working",2,44.8049281314168
"F",0,1,1,135000,"Working","Single / not married","House / apartment",1714,0,0,0,"Unknown",2,"0","Working",2,42.5982203969884
"M",0,1,0,256500,"Working","Married","House / apartment",2806,0,1,0,"Laborers",2,"0","Working",2,55.8685831622177
"M",1,0,0,135000,"Commercial associate","Married","House / apartment",1647,0,1,0,"Unknown",2,"0","Working",2,58.6091718001369
"M",1,1,1,225000,"Commercial associate","Married","House / apartment",482,0,0,0,"Drivers",3,"0","Working",2,46.8774811772758
"F",0,0,1,202500,"Working","Civil marriage","House / apartment",788,0,0,0,"Unknown",3,"0","Working",2,31.8357289527721
"F",0,0,0,225000,"Working","Married","House / apartment",329,0,0,0,"Sales staff",2,"1","Working",4,28.9965776865161
"F",0,1,0,90000,"Commercial associate","Married","House / apartment",2597,0,0,0,"Unknown",2,"0","Working",2,30.2833675564682
"F",1,1,0,247500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,64.145106091718
"F",0,1,0,292500,"Working","Married","House / apartment",257,0,0,0,"Sales staff",2,"0","Working",2,52.3394934976044
"M",1,0,0,166500,"Commercial associate","Married","House / apartment",3527,0,1,0,"Managers",2,"0","Working",2,52.9445585215606
"M",1,0,0,234000,"Commercial associate","Married","House / apartment",1934,0,1,0,"Unknown",2,"0","Working",3,29.5249828884326
"F",0,0,0,346500,"State servant","Married","House / apartment",8914,1,1,0,"Unknown",2,"0","Working",2,62.9568788501027
"F",1,1,1,171000,"Commercial associate","Married","House / apartment",464,0,0,1,"Sales staff",3,"0","Working",2,37.8918548939083
"F",1,1,0,67500,"Pensioner","Widow","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",2,58.8637919233402
"M",0,1,0,90000,"Working","Married","House / apartment",656,0,0,0,"Drivers",2,"0","Working",2,44.6899383983573
"F",0,1,0,157500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,64.082135523614
"F",0,1,1,157500,"Working","Single / not married","House / apartment",759,0,0,0,"Laborers",2,"0","Working",2,35.2416153319644
"F",1,0,0,76500,"Commercial associate","Married","House / apartment",6018,1,1,0,"Laborers",2,"0","Working",2,42.0396988364134
"F",1,1,1,180000,"Working","Married","House / apartment",2411,1,0,0,"Sales staff",3,"0","Working",2,25.6317590691307
"M",0,1,1,112500,"Working","Married","House / apartment",1495,0,0,0,"Laborers",3,"0","Working",2,36.0848733744011
"M",1,0,1,180000,"Working","Married","House / apartment",522,0,1,1,"Laborers",3,"0","Working",4,43.0527036276523
"F",0,1,0,135000,"Pensioner","Single / not married","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",4,65.2731006160164
"F",1,1,0,81000,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,56.0574948665298
"F",0,1,0,67500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,59.0718685831622
"M",1,1,0,135000,"Working","Married","House / apartment",2641,0,0,0,"Laborers",2,"0","Working",2,53.5852156057495
"M",0,0,0,180000,"Working","Married","Municipal apartment",717,1,0,0,"Laborers",2,"0","Working",2,53.4017796030116
"F",1,0,0,247500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,64.9226557152635
"F",0,0,1,90000,"Working","Civil marriage","House / apartment",1286,1,0,0,"Laborers",3,"0","Working",2,41.5934291581109
"M",1,0,1,112500,"Working","Separated","With parents",1367,1,0,0,"Unknown",2,"0","Working",2,29.9137577002053
"M",1,1,2,292500,"Working","Married","House / apartment",1924,0,0,0,"Laborers",4,"0","Working",4,36.6899383983573
"F",1,1,3,135000,"Commercial associate","Married","House / apartment",1580,0,0,0,"Cooking staff",5,"0","Working",2,33.2950034223135
"F",0,0,0,112500,"Working","Married","House / apartment",767,0,0,0,"Laborers",2,"0","Working",2,43.2169746748802
"F",0,1,2,135000,"Working","Married","House / apartment",962,0,0,0,"Laborers",4,"0","Working",2,41.7604380561259
"F",0,0,1,202500,"Commercial associate","Separated","House / apartment",1418,0,0,1,"Sales staff",2,"0","Working",4,29.8672142368241
"M",1,1,1,225000,"Working","Married","House / apartment",4836,0,0,0,"Core staff",3,"0","Working",4,33.7029431895962
"F",0,1,0,112500,"Working","Married","House / apartment",2380,0,0,0,"Private service staff",2,"1","Working",2,43.9069130732375
